condition,model,sentence,target_phrase,avg_sentence_prob,target_phrase_prob,surprisal_after_mask
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 책을 읽었다.,읽었다,-4.76782885636203,-2.4576724395155907,26.18656547523849
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 책을 읽으셨다.,읽으셨다,-4.352360280644563,-3.0502530336380005,25.504784971382108
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 책을 읽었다.,읽었다,-4.795644911821,-2.9038949981331825,25.67031208146213
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 책을 읽으셨다.,읽으셨다,-4.066677809175518,-2.5756954550743103,26.176887667509135
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 파스타를 먹었다.,먹었다,-5.043078086106107,-3.7918081283569336,25.41859001849208
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 파스타를 드셨다.,드셨다,-4.867896915516919,-4.783686637878418,25.82251535161451
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 파스타를 먹었다.,먹었다,-5.283865013858303,-4.052341461181641,25.190813443966963
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 파스타를 드셨다.,드셨다,-4.79584402197765,-5.1972984075546265,25.969281218277207
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 호통을 쳤다.,쳤다,-5.164318364113569,-3.8958427906036377,24.81737994691191
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 호통을 치셨다.,치셨다,-4.6944130782244935,-2.8304402828216553,24.997477427173028
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 호통을 쳤다.,쳤다,-5.577757378807291,-5.624288558959961,25.18081643643761
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 호통을 치셨다.,치셨다,-4.63659482025024,-3.1064323782920837,25.61048138101877
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 핸드폰을 샀다.,샀다,-6.483834884794695,-8.487120628356934,24.483942735141508
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 핸드폰을 사셨다.,사셨다,-5.688024106435478,-6.206366539001465,24.358758627370282
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 핸드폰을 샀다.,샀다,-6.852448756939599,-10.030474662780762,23.979232816891063
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 핸드폰을 사셨다.,사셨다,-5.623675712035038,-6.6305906772613525,24.340803638620205
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 편지를 썼다.,썼다,-5.09017755104495,-1.7000601291656494,25.071817959904383
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 편지를 쓰셨다.,쓰셨다,-4.560743634821847,-2.564966529607773,25.299344127689842
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 편지를 썼다.,썼다,-5.223151096808059,-3.0803823471069336,24.929022828684804
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 편지를 쓰셨다.,쓰셨다,-4.225195931037888,-2.7375528067350388,25.601967551870455
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 노래를 불렀다.,불렀다,-5.006394034783755,-1.626102328300476,25.31354576706749
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 노래를 부르셨다.,부르셨다,-4.453342069522478,-3.444713719189167,25.283483199696672
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 노래를 불렀다.,불렀다,-5.278825465057578,-2.5161919593811035,25.515409371621807
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 노래를 부르셨다.,부르셨다,-4.168508082162589,-2.599130216985941,26.363682840125456
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 티비를 봤다.,봤다,-4.76177675742656,-2.313277244567871,25.079266872478552
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 티비를 보셨다.,보셨다,-4.4044384054011765,-4.017610564827919,24.802991190410122
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 티비를 봤다.,봤다,-4.858599610393867,-2.25392746925354,24.071731965831116
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 티비를 보셨다.,보셨다,-3.947726930388146,-3.0102875530719757,25.469838096726782
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 산책을 했다.,했다,-6.315268183393138,-3.168747901916504,25.43308334044559
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 산책을 하셨다.,하셨다,-6.00094324656363,-6.303249359130859,25.761749065550454
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 산책을 했다.,했다,-6.18136593912329,-4.109819412231445,24.956724418224578
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 산책을 하셨다.,하셨다,-5.458958904791091,-4.4241943359375,25.972462209387565
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 정원을 가꿨다.,가꿨다,-4.955528900958598,-5.194106837113698,24.891965382938093
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 정원을 가꾸셨다.,가꾸셨다,-4.271364340351687,-3.34182471036911,24.963947689560815
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 정원을 가꿨다.,가꿨다,-4.8456315591931345,-5.6960388620694475,23.91441049198906
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 정원을 가꾸셨다.,가꾸셨다,-3.9367825598973365,-2.501434952020645,24.73281126196844
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 빨래를 널었다.,널었다,-4.7921237433329225,-2.516347885131836,25.063981054469867
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 빨래를 널으셨다.,널으셨다,-5.057966557227903,-4.767275253931682,23.988723507496275
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 빨래를 널었다.,널었다,-4.890819518011995,-3.667494297027588,23.937216767354673
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 빨래를 널으셨다.,널으셨다,-4.840135011511545,-4.574025948842366,24.028711537613688
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 책을 읽었다.,읽었다,-3.7408520970493555,-2.416319727897644,24.497737119601915
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 책을 읽으셨다.,읽으셨다,-3.099900673609227,-2.0493645071983337,23.95133035161508
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 책을 읽었다.,읽었다,-4.180679010537763,-2.766669735312462,24.429387086565413
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 책을 읽으셨다.,읽으셨다,-3.2474073549732565,-2.138749639193217,24.179051891691923
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 파스타를 먹었다.,먹었다,-4.464110301600562,-3.9570565223693848,24.401514890235983
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 파스타를 드셨다.,드셨다,-3.892304139211774,-3.612506866455078,23.964293715906514
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 파스타를 먹었다.,먹었다,-5.128527611287104,-5.340551853179932,24.29182573137689
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 파스타를 드셨다.,드셨다,-4.082530662603676,-4.033385992050171,24.119265218807183
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 호통을 쳤다.,쳤다,-4.716168044548896,-3.274078369140625,23.98646984683937
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 호통을 치셨다.,치셨다,-4.125521719641983,-2.080299124121666,24.11519266963475
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 호통을 쳤다.,쳤다,-5.149236441693372,-4.629317283630371,23.68929483303809
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 호통을 치셨다.,치셨다,-4.308054262306541,-2.3024440854787827,24.189381857633347
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 핸드폰을 샀다.,샀다,-6.228245630161837,-9.2946138381958,23.00153621223772
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 핸드폰을 사셨다.,사셨다,-4.761876126544343,-4.685044050216675,23.012929718892078
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 핸드폰을 샀다.,샀다,-6.50291654211469,-10.975873947143555,22.894935861788124
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 핸드폰을 사셨다.,사셨다,-4.8080011864917145,-4.966003656387329,23.107572459592486
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 편지를 썼다.,썼다,-5.12299966881983,-1.8500608205795288,24.013772436629143
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 편지를 쓰셨다.,쓰셨다,-4.313588109281328,-2.264335162937641,24.120288859545116
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 편지를 썼다.,썼다,-5.413741929805838,-2.9864234924316406,23.83914813224908
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 편지를 쓰셨다.,쓰셨다,-4.410670334473252,-2.58847813308239,24.155709030455615
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 노래를 불렀다.,불렀다,-4.610006490256637,-1.676533818244934,23.875883626473378
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 노래를 부르셨다.,부르셨다,-3.4635811030036874,-2.0046168249100447,24.080856677355293
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 노래를 불렀다.,불렀다,-4.8945871675387025,-2.5835907459259033,23.782113181778147
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 노래를 부르셨다.,부르셨다,-3.639360344554815,-2.291591811925173,24.2022296495834
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 티비를 봤다.,봤다,-3.8955607004463673,-2.8104851245880127,23.575632187013465
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 티비를 보셨다.,보셨다,-3.1060488944873215,-1.6623499691486359,23.735548535091738
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 티비를 봤다.,봤다,-4.334745984317528,-3.50669527053833,23.233196842949923
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 티비를 보셨다.,보셨다,-3.1464562475681306,-1.6577696353197098,23.9064249935442
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 산책을 했다.,했다,-5.7889970319811255,-3.5501339435577393,23.72989374553137
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 산책을 하셨다.,하셨다,-4.793599262891803,-3.5452911853790283,23.373606230836735
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 산책을 했다.,했다,-5.893512754701078,-4.943096160888672,23.28085392343461
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 산책을 하셨다.,하셨다,-4.700583874247968,-3.5389366149902344,23.37151217007983
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 정원을 가꿨다.,가꿨다,-4.696348857219246,-5.174546142419179,23.414271184667943
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 정원을 가꾸셨다.,가꾸셨다,-3.824067280255258,-3.0706114172935486,23.029251560389564
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 정원을 가꿨다.,가꿨다,-4.8989560912278565,-5.6587483286857605,22.75058738326595
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 정원을 가꾸셨다.,가꾸셨다,-3.6626662430353463,-2.671780437231064,23.2021766761791
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 빨래를 널었다.,널었다,-4.42625570576638,-2.228873610496521,23.28834411184499
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 빨래를 널으셨다.,널으셨다,-4.061069662868976,-3.6169068018595376,22.631488709612853
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 빨래를 널었다.,널었다,-4.520664789610439,-2.975820779800415,22.81938732291711
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 빨래를 널으셨다.,널으셨다,-4.042822549119592,-3.6905433336893716,22.76118564214272
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 책을 읽었다.,읽었다,-4.523577332962304,-2.109848275780678,25.496535307585518
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 책을 읽으셨다.,읽으셨다,-3.953501387292312,-2.095930863171816,25.117887296556304
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 책을 읽었다.,읽었다,-3.629469866450462,-2.265737347304821,26.005295761229085
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 책을 읽으셨다.,읽으셨다,-2.881273430865258,-1.8375682358940442,25.422035174954164
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 파스타를 먹었다.,먹었다,-4.916238508187234,-3.4489970207214355,24.557256875412513
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 파스타를 드셨다.,드셨다,-4.503174628441532,-4.285662889480591,25.188441459246263
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 파스타를 먹었다.,먹었다,-4.076952475433548,-5.158239364624023,24.323291677178748
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 파스타를 드셨다.,드셨다,-3.8764360666275026,-4.294044256210327,25.151510592730588
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 호통을 쳤다.,쳤다,-4.6760171805508435,-3.0633504390716553,24.58195633579883
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 호통을 치셨다.,치셨다,-3.8591627063643603,-1.8985486328601837,25.08605537167341
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 호통을 쳤다.,쳤다,-4.450652506305939,-4.232460021972656,24.7400785608633
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 호통을 치셨다.,치셨다,-3.8642751342616974,-2.132635109126568,25.501958952463127
